Rank,Artist,Title,Last Week,Peak Position,Weeks on Chart,title_artist
1,Taylor Swift,All Too Well (Taylor's Version),-,1,1,all too well (taylor's version)  by  taylor swift
2,Adele,Easy On Me,1,1,6,easy on me  by  adele
3,The Kid LAROI & Justin Bieber,Stay,2,1,19,stay  by  the kid laroi & justin bieber
4,Lil Nas X & Jack Harlow,Industry Baby,3,1,17,industry baby  by  lil nas x & jack harlow
5,Silk Sonic (Bruno Mars & Anderson .Paak),Smokin Out The Window,8,5,2,smokin out the window  by  silk sonic (bruno mars & anderson .paak)
6,Ed Sheeran,Bad Habits,4,2,21,bad habits  by  ed sheeran
7,Ed Sheeran,Shivers,5,5,10,shivers  by  ed sheeran
8,Glass Animals,Heat Waves,10,8,44,heat waves  by  glass animals
9,Doja Cat,Need To Know,9,8,23,need to know  by  doja cat
10,Walker Hayes,Fancy Like,7,3,22,fancy like  by  walker hayes
11,Elton John & Dua Lipa,Cold Heart (PNAU Remix),14,11,11,cold heart (pnau remix)  by  elton john & dua lipa
12,Drake Featuring Future & Young Thug,Way 2 Sexy,12,1,11,way 2 sexy  by  drake featuring future & young thug
13,Olivia Rodrigo,Good 4 U,15,1,27,good 4 u  by  olivia rodrigo
14,Doja Cat & The Weeknd,You Right,19,11,21,you right  by  doja cat & the weeknd
15,Wizkid Featuring Justin Bieber & Tems,Essence,16,9,20,essence  by  wizkid featuring justin bieber & tems
16,Maneskin,Beggin',17,13,21,beggin'  by  maneskin
17,Dua Lipa,Levitating,18,2,59,levitating  by  dua lipa
18,Taylor Swift,State Of Grace (Taylor's Version),-,18,1,state of grace (taylor's version)  by  taylor swift
19,Post Malone & The Weeknd,One Right Now,6,6,2,one right now  by  post malone & the weeknd
20,Juice WRLD,Already Dead,-,20,1,already dead  by  juice wrld
21,Doja Cat Featuring SZA,Kiss Me More,20,3,32,kiss me more  by  doja cat featuring sza
22,Taylor Swift Featuring Chris Stapleton,I Bet You Think About Me (Taylor's Version) (From The Vault),-,22,1,i bet you think about me (taylor's version) (from the vault)  by  taylor swift featuring chris stapleton
23,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,46,1,37,leave the door open  by  silk sonic (bruno mars & anderson .paak)
24,Jason Aldean & Carrie Underwood,If I Didn't Love You,21,15,17,if i didn't love you  by  jason aldean & carrie underwood
25,Taylor Swift,Red (Taylor's Version),-,25,1,red (taylor's version)  by  taylor swift
26,The Weeknd & Ariana Grande,Save Your Tears,22,1,49,save your tears  by  the weeknd & ariana grande
27,Drake Featuring 21 Savage & Project Pat,Knife Talk,23,4,11,knife talk  by  drake featuring 21 savage & project pat
28,THE ANXIETY: WILLOW & Tyler Cole,Meet Me At Our Spot,27,21,10,meet me at our spot  by  the anxiety: willow & tyler cole
29,NEIKED X Mae Muller X Polo G,Better Days,29,29,5,better days  by  neiked x mae muller x polo g
30,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You,40,30,14,thinking 'bout you  by  dustin lynch featuring lauren alaina or mackenzie porter
31,Drake Featuring Lil Baby,Girls Want Girls,28,2,11,girls want girls  by  drake featuring lil baby
32,Luke Combs,Cold As You,39,32,16,cold as you  by  luke combs
33,Justin Bieber,Ghost,36,32,8,ghost  by  justin bieber
34,CKay,Love Nwantiti (Ah Ah Ah),32,31,9,love nwantiti (ah ah ah)  by  ckay
35,Ryan Hurd With Maren Morris,Chasing After You,24,23,29,chasing after you  by  ryan hurd with maren morris
36,Mariah Carey,All I Want For Christmas Is You,-,1,45,all i want for christmas is you  by  mariah carey
37,Coldplay x BTS,My Universe,43,1,8,my universe  by  coldplay x bts
38,Jordan Davis Featuring Luke Bryan,Buy Dirt,30,30,15,buy dirt  by  jordan davis featuring luke bryan
39,Lil Nas X,Thats What I Want,38,10,9,thats what i want  by  lil nas x
40,Billie Eilish,Happier Than Ever,31,11,16,happier than ever  by  billie eilish
41,Farruko,Pepas,37,25,17,pepas  by  farruko
42,Chris Stapleton,You Should Probably Leave,47,39,20,you should probably leave  by  chris stapleton
43,Taylor Swift Featuring Phoebe Bridgers,Nothing New (Taylor's Version) (From The Vault),-,43,1,nothing new (taylor's version) (from the vault)  by  taylor swift featuring phoebe bridgers
44,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",Who Want Smoke??,35,17,6,"who want smoke??  by  nardo wick featuring g herbo, lil durk & 21 savage"
45,Taylor Swift,Message In A Bottle (Taylor's Version) (From The Vault),-,45,1,message in a bottle (taylor's version) (from the vault)  by  taylor swift
46,Taylor Swift,I Knew You Were Trouble (Taylor's Version),-,46,1,i knew you were trouble (taylor's version)  by  taylor swift
47,Taylor Swift Featuring Ed Sheeran,Run (Taylor's Version) (From The Vault),-,47,1,run (taylor's version) (from the vault)  by  taylor swift featuring ed sheeran
48,Lil Nas X,Montero (Call Me By Your Name),42,1,34,montero (call me by your name)  by  lil nas x
49,Polo G,Bad Man (Smooth Criminal),-,49,1,bad man (smooth criminal)  by  polo g
50,Zac Brown Band,Same Boat,51,48,9,same boat  by  zac brown band
51,Taylor Swift,Better Man (Taylor's Version) (From The Vault),-,51,1,better man (taylor's version) (from the vault)  by  taylor swift
52,Taylor Swift,22 (Taylor's Version),-,52,1,22 (taylor's version)  by  taylor swift
53,Luke Combs,Doin' This,-,53,1,doin' this  by  luke combs
54,Taylor Swift,Treacherous (Taylor's Version),-,54,1,treacherous (taylor's version)  by  taylor swift
55,Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version),-,55,1,we are never ever getting back together (taylor's version)  by  taylor swift
56,Summer Walker & SZA,No Love,13,13,2,no love  by  summer walker & sza
57,Normani Featuring Cardi B,Wild Side,53,14,18,wild side  by  normani featuring cardi b
58,Chloe,Have Mercy,55,28,10,have mercy  by  chloe
59,Taylor Swift,I Almost Do (Taylor's Version),-,59,1,i almost do (taylor's version)  by  taylor swift
60,Blxst & Tyga Featuring Ty Dolla $ign,Chosen,61,53,8,chosen  by  blxst & tyga featuring ty dolla $ign
61,Taylor Swift,The Very First Night (Taylor's Version) (From The Vault),-,61,1,the very first night (taylor's version) (from the vault)  by  taylor swift
62,Baby Keem & Kendrick Lamar,Family Ties,57,18,12,family ties  by  baby keem & kendrick lamar
63,Taylor Swift Featuring Ed Sheeran,Everything Has Changed (Taylor's Version),-,63,1,everything has changed (taylor's version)  by  taylor swift featuring ed sheeran
64,Morgan Wallen,Sand In My Boots,69,32,18,sand in my boots  by  morgan wallen
65,Capella Grey,Gyalis,58,38,16,gyalis  by  capella grey
66,Taylor Swift Featuring Gary Lightbody Of Snow Patrol,The Last Time (Taylor's Version),-,66,1,the last time (taylor's version)  by  taylor swift featuring gary lightbody of snow patrol
67,Taylor Swift,Stay Stay Stay (Taylor's Version),-,67,1,stay stay stay (taylor's version)  by  taylor swift
68,Silk Sonic (Bruno Mars & Anderson .Paak) With Thundercat & Bootsy Collins,After Last Night,-,68,1,after last night  by  silk sonic (bruno mars & anderson .paak) with thundercat & bootsy collins
69,Taylor Swift,Babe (Taylor's Version) (From The Vault),-,69,1,babe (taylor's version) (from the vault)  by  taylor swift
70,Meek Mill Featuring Lil Baby & Lil Durk,Sharing Locations,62,22,12,sharing locations  by  meek mill featuring lil baby & lil durk
71,Travis Scott,Escape Plan,11,11,2,escape plan  by  travis scott
72,Kane Brown,One Mississippi,63,59,8,one mississippi  by  kane brown
73,Silk Sonic (Bruno Mars & Anderson .Paak),Blast Off,-,73,1,blast off  by  silk sonic (bruno mars & anderson .paak)
74,Kenny Chesney,Knowing You,67,57,14,knowing you  by  kenny chesney
75,Silk Sonic (Bruno Mars & Anderson .Paak),Skate,-,14,9,skate  by  silk sonic (bruno mars & anderson .paak)
76,Taylor Swift,Holy Ground (Taylor's Version),-,76,1,holy ground (taylor's version)  by  taylor swift
77,Taylor Swift,Begin Again (Taylor's Version),-,77,1,begin again (taylor's version)  by  taylor swift
78,Silk Sonic (Bruno Mars & Anderson .Paak),Put On A Smile,-,78,1,put on a smile  by  silk sonic (bruno mars & anderson .paak)
79,Taylor Swift,Forever Winter (Taylor's Version) (From The Vault),-,79,1,forever winter (taylor's version) (from the vault)  by  taylor swift
80,Michael Ray,Whiskey And Rain,75,67,7,whiskey and rain  by  michael ray
81,Silk Sonic (Bruno Mars & Anderson .Paak),Fly As Me,-,81,1,fly as me  by  silk sonic (bruno mars & anderson .paak)
82,Kodak Black,Super Gremlin,97,82,2,super gremlin  by  kodak black
83,Taylor Swift,The Moment I Knew (Taylor's Version),-,83,1,the moment i knew (taylor's version)  by  taylor swift
84,Taylor Swift,The Lucky One (Taylor's Version),-,84,1,the lucky one (taylor's version)  by  taylor swift
85,Taylor Swift,Sad Beautiful Tragic (Taylor's Version),-,85,1,sad beautiful tragic (taylor's version)  by  taylor swift
86,Drake Featuring Travis Scott,Fair Trade,66,3,11,fair trade  by  drake featuring travis scott
87,Taylor Swift,Come Back...Be Here (Taylor's Version),-,87,1,come back...be here (taylor's version)  by  taylor swift
88,Amaarae & Moliy Featuring Kali Uchis,Sad Girlz Luv Money,80,80,2,sad girlz luv money  by  amaarae & moliy featuring kali uchis
89,Jon Pardi,Tequila Little Time,78,68,6,tequila little time  by  jon pardi
90,Taylor Swift,Starlight (Taylor's Version),-,90,1,starlight (taylor's version)  by  taylor swift
91,Young Thug With Drake & Travis Scott,Bubbly,74,20,5,bubbly  by  young thug with drake & travis scott
92,Summer Walker & JT,Ex For A Reason,33,33,3,ex for a reason  by  summer walker & jt
93,Jimmie Allen & Brad Paisley,Freedom Was A Highway,84,82,6,freedom was a highway  by  jimmie allen & brad paisley
94,Rosalia Featuring The Weeknd,La Fama,-,94,1,la fama  by  rosalia featuring the weeknd
95,Latto,Big Energy,86,76,4,big energy  by  latto
96,Swedish House Mafia & The Weeknd,Moth To A Flame,71,27,4,moth to a flame  by  swedish house mafia & the weeknd
97,Cody Johnson,'Til You Can't,82,65,6,'til you can't  by  cody johnson
98,Doja Cat,Woman,83,62,16,woman  by  doja cat
99,The Weeknd,Take My Breath,70,6,15,take my breath  by  the weeknd
100,Giveon,For Tonight,92,80,7,for tonight  by  giveon
